Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Recall_Mean,F1_Mean,F1_Std,ROC_AUC_Mean,Train_Time_Mean,Predict_Time_Mean
Multi-layer Perceptron,0.9292,0.0092,0.9291,0.9292,0.9289,0.0092,0.9947,18.5628,0.0024
Support Vector Machine,0.9269,0.0096,0.9271,0.9269,0.9269,0.0096,0.9941,7.2694,0.5066
Logistic Regression,0.9232,0.0074,0.9234,0.9232,0.9232,0.0075,0.9935,0.5305,0.001
Gradient Boosting,0.923,0.0089,0.923,0.923,0.9228,0.0089,0.9934,64.7228,0.0257
K-Nearest Neighbors,0.92,0.0122,0.9202,0.92,0.9199,0.0125,0.981,0.0036,2.9248
Random Forest,0.9188,0.01,0.9186,0.9188,0.9185,0.0102,0.9916,6.59,0.0487
Linear Discriminant Analysis,0.91,0.0032,0.9192,0.91,0.9113,0.0035,0.9916,0.0371,0.0009
Decision Tree,0.8984,0.0004,0.8982,0.8984,0.8979,0.0005,0.937,0.4456,0.0023
AdaBoost,0.7968,0.0325,0.8277,0.7968,0.7784,0.0417,0.9659,2.4235,0.0256
Gaussian Naive Bayes,0.7577,0.0086,0.7582,0.7577,0.7551,0.0071,0.963,0.0124,0.004
