Model,Accuracy,Accuracy Std,Precision,Recall,F1,F1 Std,ROC-AUC,ROC-AUC Std
Multi-layer Perceptron,0.9292,0.0092,0.9291,0.9292,0.9289,0.0092,0.9947,0.0012
Support Vector Machine,0.9269,0.0096,0.9271,0.9269,0.9269,0.0096,0.9941,0.0014
Logistic Regression,0.9232,0.0074,0.9234,0.9232,0.9232,0.0075,0.9935,0.0012
Gradient Boosting,0.923,0.0089,0.923,0.923,0.9228,0.0089,0.9934,0.0009
K-Nearest Neighbors,0.92,0.0122,0.9202,0.92,0.9199,0.0125,0.981,0.0028
Random Forest,0.9188,0.01,0.9186,0.9188,0.9185,0.0102,0.9916,0.0027
Linear Discriminant Analysis,0.91,0.0032,0.9192,0.91,0.9113,0.0035,0.9916,0.0007
Decision Tree,0.8984,0.0004,0.8982,0.8984,0.8979,0.0005,0.937,0.0006
AdaBoost,0.7968,0.0325,0.8277,0.7968,0.7784,0.0417,0.9659,0.0044
Gaussian Naive Bayes,0.7577,0.0086,0.7582,0.7577,0.7551,0.0071,0.963,0.0018
